adm0_iso3,adm0_name,admin_level,adm1_pcode,adm1_name,adm2_pcode,adm2_name,period_number,start_date,end_date,cropland_flooded_sq_km,cropland_flooded_ha,total_area_flooded_sq_km,total_area_flooded_ha,perc_cropland_flooded,perc_total_area_flooded,pop_exposed
PAK,Pakistan,admin2,PK62022,Punjab,PK6322022,Sargodha,55,2026-04-01,2026-04-15,16.35,1635,71.45,7145,0.3461959173867144,1.0323381179688675,28213
PAK,Pakistan,admin2,PK62022,Punjab,PK6312022,Sahiwal,55,2026-04-01,2026-04-15,2.53,253,7.93,793,0.0809444627262511,0.21083352669601382,4556
PAK,Pakistan,admin2,PK62022,Punjab,PK6302022,Rawalpindi,55,2026-04-01,2026-04-15,1.52,152,30.490000000000002,3049,0.0667982997592314,0.4854387299207824,5412
PAK,Pakistan,admin2,PK62022,Punjab,PK6292022,Rajanpur,55,2026-04-01,2026-04-15,94.21,9421,265.84,26584,1.7214611009968916,1.8380962605587594,25805
PAK,Pakistan,admin2,PK62022,Punjab,PK6282022,Rahim Yar Khan,55,2026-04-01,2026-04-15,52.62,5262,207.17000000000002,20717,0.7559052360812817,1.4129141989519738,23299
PAK,Pakistan,admin2,PK62022,Punjab,PK6272022,Pakpattan,55,2026-04-01,2026-04-15,21.24,2124,36.42,3642,0.7182151887116974,1.086607996082778,13033
PAK,Pakistan,admin2,PK62022,Punjab,PK6262022,Okara,55,2026-04-01,2026-04-15,28.05,2805,40.77,4077,0.6277367851632275,0.7874346982719004,14822
PAK,Pakistan,admin2,PK62022,Punjab,PK6252022,Narowal,55,2026-04-01,2026-04-15,1.12,112,2.0100000000000002,201,0.0451817285532689,0.07419186022291173,1247
PAK,Pakistan,admin2,PK62022,Punjab,PK6242022,Nankana Sahib,55,2026-04-01,2026-04-15,13.06,1306,27.71,2771,0.6045862614321177,1.074083103802769,8967
PAK,Pakistan,admin2,PK62022,Punjab,PK6232022,Muzaffargarh,55,2026-04-01,2026-04-15,119.36,11936,365.28,36528,2.1064870566153697,4.098630330450552,106857
PAK,Pakistan,admin2,PK62022,Punjab,PK6222022,Multan,55,2026-04-01,2026-04-15,21.11,2111,81.63,8163,0.719502108630845,1.9323914883036377,32317
PAK,Pakistan,admin2,PK62022,Punjab,PK6212022,Mianwali,55,2026-04-01,2026-04-15,153.33,15333,339.90999999999997,33991,4.272650135857384,4.787171212582307,44005
PAK,Pakistan,admin2,PK62022,Punjab,PK6202022,Mandi Bahauddin,55,2026-04-01,2026-04-15,27.2,2720,107.99,10799,1.0844200190752222,3.3149191422491633,49748
PAK,Pakistan,admin2,PK62022,Punjab,PK6192022,Lodhran,55,2026-04-01,2026-04-15,0.35,35,0.54,54,0.0127125024762672,0.01882922169405278,197
PAK,Pakistan,admin2,PK62022,Punjab,PK6182022,Leiah,55,2026-04-01,2026-04-15,81.42,8142,168.45,16845,1.814661876420568,2.2450233062789438,24002
PAK,Pakistan,admin2,PK62022,Punjab,PK6172022,Lahore,55,2026-04-01,2026-04-15,6.95,695,13.959999999999999,1396,0.6851256467667273,0.6862199579975079,20726
PAK,Pakistan,admin2,PK62022,Punjab,PK6162022,Khushab,55,2026-04-01,2026-04-15,30.15,3015,61.14,6114,0.940280608621107,0.7817287027201473,16243
PAK,Pakistan,admin2,PK62022,Punjab,PK6152022,Khanewal,55,2026-04-01,2026-04-15,11.39,1139,51.6,5160,0.278948484122991,1.0187336587820122,18520
PAK,Pakistan,admin2,PK62022,Punjab,PK6142022,Kasur,55,2026-04-01,2026-04-15,3.76,376,9.719999999999999,972,0.1025016638613592,0.20821484250255867,3890
PAK,Pakistan,admin2,PK62022,Punjab,PK6132022,Jhelum,55,2026-04-01,2026-04-15,5.59,559,49.32,4932,0.340873783294379,1.1579811558054398,11385
PAK,Pakistan,admin2,PK62022,Punjab,PK6122022,Jhang,55,2026-04-01,2026-04-15,28.83,2883,124.66,12466,0.5508665437613308,1.6756839873691267,33947
PAK,Pakistan,admin2,PK62022,Punjab,PK6112022,Hafizabad,55,2026-04-01,2026-04-15,15.61,1561,49.11,4911,0.6606087588003574,1.8228824178576242,18826
PAK,Pakistan,admin2,PK62022,Punjab,PK6102022,Gujrat,55,2026-04-01,2026-04-15,13.86,1386,63.83,6383,0.5326337204059219,1.6901625461063865,32948
PAK,Pakistan,admin2,PK62022,Punjab,PK6092022,Gujranwala,55,2026-04-01,2026-04-15,30.51,3051,120.84,12084,0.8554610058529437,2.8184522341439764,66338
PAK,Pakistan,admin2,PK62022,Punjab,PK6082022,Faisalabad,55,2026-04-01,2026-04-15,12.27,1227,28.240000000000002,2824,0.2468108793898015,0.40471932906738767,14043
PAK,Pakistan,admin2,PK62022,Punjab,PK6072022,Dera Ghazi Khan,55,2026-04-01,2026-04-15,66.25,6625,208.43,20843,1.3926773238587886,1.5226772949076695,30465
PAK,Pakistan,admin2,PK62022,Punjab,PK6062022,Chiniot,55,2026-04-01,2026-04-15,14.5,1450,58.199999999999996,5820,0.6331579772562473,1.8980316423270978,24319
PAK,Pakistan,admin2,PK62022,Punjab,PK6052022,Chakwal,55,2026-04-01,2026-04-15,2.1,210,22.21,2221,0.0642951509305555,0.28666124828460304,5325
PAK,Pakistan,admin2,PK62022,Punjab,PK6042022,Bhakkar,55,2026-04-01,2026-04-15,11.91,1191,65.98,6598,0.2794971354131946,0.6608013498604227,5301
PAK,Pakistan,admin2,PK62022,Punjab,PK6032022,Bahawalpur,55,2026-04-01,2026-04-15,23.47,2347,46.39,4639,0.337897888334816,0.16895674617745182,15167
PAK,Pakistan,admin2,PK62022,Punjab,PK6022022,Bahawalnagar,55,2026-04-01,2026-04-15,31.22,3122,54.71,5471,0.4866738204354,0.5526713410797549,18794
PAK,Pakistan,admin2,PK62022,Punjab,PK6012022,Attock,55,2026-04-01,2026-04-15,3.31,331,51.37,5137,0.0970928164187938,0.6183779791264983,8258
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5342022,Tor Ghar,55,2026-04-01,2026-04-15,2.01,201,20.71,2071,14.820351489986756,3.7447459003716954,5608
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5332022,Tank,55,2026-04-01,2026-04-15,23.63,2363,57.339999999999996,5734,3.313380593998383,1.7139307638879595,8234
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5322022,Swat,55,2026-04-01,2026-04-15,0.02,2,0.16,16,0.0060964945992827,0.00685119947038876,207
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5312022,Swabi,55,2026-04-01,2026-04-15,1.28,128,16.580000000000002,1658,0.1383963559696743,0.9246617720254156,8019
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5302022,South Waziristan,55,2026-04-01,2026-04-15,0.16,16,21.23,2123,0.0816960418668186,0.40935473084812113,497
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5292022,Shangla,55,2026-04-01,2026-04-15,0.72,72,2.81,281,1.8976489204796212,0.16833969533886375,1032
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5282022,Peshawar,55,2026-04-01,2026-04-15,3.81,381,13.06,1306,0.5772833948387283,0.7022874562957698,12260
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5262022,Nowshera,55,2026-04-01,2026-04-15,11.09,1109,29.78,2978,2.2300341387358094,1.4282472085853495,20023
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5252022,North Waziristan,55,2026-04-01,2026-04-15,0.17,17,3.26,326,0.111095136647018,0.05533804582980624,111
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5242022,Mohmand,55,2026-04-01,2026-04-15,0.28,28,3.97,397,0.0626069151179127,0.14435460146387405,1629
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5232022,Mardan,55,2026-04-01,2026-04-15,0.09,9,0.12,12,0.01070907666341,0.008074297042727937,168
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5222022,Mansehra,55,2026-04-01,2026-04-15,0.55,55,2.47,247,0.160390875709022,0.059157546940105304,926
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5212022,Malakand,55,2026-04-01,2026-04-15,0.16,16,0.16,16,0.0961160629729828,0.0961160629729828,46
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5202022,Lower Dir,55,2026-04-01,2026-04-15,0.72,72,1.26,126,0.1846568651017231,0.06635394744445147,1746
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5192022,Lakki Marwat,55,2026-04-01,2026-04-15,6.34,634,15.789999999999997,1579,0.4862931330608945,0.39716791935500184,4014
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5182022,Kurram,55,2026-04-01,2026-04-15,0.03,3,1.0899999999999999,109,0.0111106818531048,0.02685970063672586,91
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5172022,Kolai Palas Kohistan,55,2026-04-01,2026-04-15,0,0,0.28,28,0,0.02762876581722648,124
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5142022,Kohat,55,2026-04-01,2026-04-15,0.26,26,18.419999999999998,1842,0.0391008572111004,0.44562491368395046,2413
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5132022,Khyber,55,2026-04-01,2026-04-15,0.43,43,3.8099999999999996,381,0.259364930833653,0.11615961707534758,481
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5122022,Karak,55,2026-04-01,2026-04-15,0.12,12,5.37,537,0.0305143644875023,0.17365118045012468,513
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5112022,Haripur,55,2026-04-01,2026-04-15,1.15,115,60.41,6041,0.2291708866932247,2.556638414696475,5979
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5092022,D. I. Khan,55,2026-04-01,2026-04-15,218.4,21840,486.17999999999995,48618,5.264648656593385,4.561995545986535,43642
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5082022,Chitral Upper,55,2026-04-01,2026-04-15,0.01,1,0.5599999999999999,56,0.0454132606721162,0.009949720883155525,48
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5072022,Chitral Lower,55,2026-04-01,2026-04-15,0,0,0.28,28,0,0.029016291631773616,61
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5062022,Charsadda,55,2026-04-01,2026-04-15,4.97,497,23.759999999999998,2376,0.8956632682087287,1.9609958990237955,22527
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5032022,Bannu,55,2026-04-01,2026-04-15,4.5,450,15.579999999999998,1558,0.7063271462358179,0.6427397210542936,859
PAK,Pakistan,admin2,PK52022,Khyber Pakhtunkhwa,PK5022022,Bajaur,55,2026-04-01,2026-04-15,0.2,20,1.2,120,0.0387167595742371,0.07199120013447755,733
PAK,Pakistan,admin2,PK42022,Islamabad,PK4012022,Islamabad,55,2026-04-01,2026-04-15,0.29,29,4,400,0.1096224171098135,0.3682984442171017,3691
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3142022,Rondu,55,2026-04-01,2026-04-15,0,0,1.96,196,0,0.11080198534633762,54
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3132022,Gupis-Yasin,55,2026-04-01,2026-04-15,0,0,0.48,48,0,0.007112452694272299,24
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3102022,Shigar,55,2026-04-01,2026-04-15,0,0,0.28,28,0,0.006348509935364658,3
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3092022,Kharmang,55,2026-04-01,2026-04-15,0,0,0.27999999999999997,28,0,0.007280064955308887,5
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3082022,Nagar,55,2026-04-01,2026-04-15,0,0,1.7400000000000002,174,0,0.09310924440284776,224
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3072022,Skardu,55,2026-04-01,2026-04-15,0.07,7,14.75,1475,0.3067959162627617,0.7101395485338208,783
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3062022,Hunza,55,2026-04-01,2026-04-15,0,0,5.890000000000001,589,0,0.043208216536250364,61
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3052022,Gilgit,55,2026-04-01,2026-04-15,0,0,0.44000000000000006,44,0,0.02130060588263499,16
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3042022,Ghizer,55,2026-04-01,2026-04-15,0,0,0.48,48,0,0.010021597361070991,4
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3032022,Ghanche,55,2026-04-01,2026-04-15,0,0,0.4,40,0,0.008963282256948068,27
PAK,Pakistan,admin2,PK32022,Gilgit Baltistan,PK3022022,Diamir,55,2026-04-01,2026-04-15,0,0,1.2,120,0,0.03222353885917097,14
PAK,Pakistan,admin2,PK22022,Balochistan,PK2362022,Usta Muhammad,55,2026-04-01,2026-04-15,1.81,181,3,300,0.1883126529415552,0.26733447400701643,236
PAK,Pakistan,admin2,PK22022,Balochistan,PK2342022,Duki,55,2026-04-01,2026-04-15,21.62,2162,131.25,13125,4.844387527804416,2.60876080161429,4629
PAK,Pakistan,admin2,PK22022,Balochistan,PK2332022,Shaheed Sikandarabad,55,2026-04-01,2026-04-15,0.1,10,0.33,33,0.0353047848228745,0.007831172466390483,5
PAK,Pakistan,admin2,PK22022,Balochistan,PK2312022,Zhob,55,2026-04-01,2026-04-15,0.08,8,35.78,3578,0.038166439351844,0.25561852753815917,394
PAK,Pakistan,admin2,PK22022,Balochistan,PK2302022,Washuk,55,2026-04-01,2026-04-15,0,0,2.92,292,0,0.006632572305520062,4
PAK,Pakistan,admin2,PK22022,Balochistan,PK2292022,Sohbatpur,55,2026-04-01,2026-04-15,41.13,4113,110.64000000000001,11064,5.89651958523907,12.311217589682883,12824
PAK,Pakistan,admin2,PK22022,Balochistan,PK2282022,Sibi,55,2026-04-01,2026-04-15,0.52,52,0.93,93,0.076979058445102,0.017950125355304093,32
PAK,Pakistan,admin2,PK22022,Balochistan,PK2272022,Sherani,55,2026-04-01,2026-04-15,0.01,1,14.379999999999999,1438,0.052552722746261,0.40017385501784897,289
PAK,Pakistan,admin2,PK22022,Balochistan,PK2262022,Quetta,55,2026-04-01,2026-04-15,0.01,1,0.6399999999999999,64,0.0055193228245426,0.015106793086087145,62
PAK,Pakistan,admin2,PK22022,Balochistan,PK2252022,Pishin,55,2026-04-01,2026-04-15,0.24,24,2.6199999999999997,262,0.0474940560645602,0.0400928420840587,386
PAK,Pakistan,admin2,PK22022,Balochistan,PK2242022,Panjgur,55,2026-04-01,2026-04-15,0.17,17,212.89,21289,0.0905887958272731,1.0790091358569485,1241
PAK,Pakistan,admin2,PK22022,Balochistan,PK2232022,Nushki,55,2026-04-01,2026-04-15,0.08,8,1.32,132,0.0369099162832438,0.01955412777761558,12
PAK,Pakistan,admin2,PK22022,Balochistan,PK2222022,Nasirabad,55,2026-04-01,2026-04-15,3.95,395,12.17,1217,0.1432278319043185,0.331004136221116,441
PAK,Pakistan,admin2,PK22022,Balochistan,PK2212022,Musakhel,55,2026-04-01,2026-04-15,0.02,2,0.32000000000000006,32,0.0097733502584763,0.006782271706947327,6
PAK,Pakistan,admin2,PK22022,Balochistan,PK2192022,Loralai,55,2026-04-01,2026-04-15,0.05,5,3.64,364,0.0178142215611321,0.08673861436306415,94
PAK,Pakistan,admin2,PK22022,Balochistan,PK2182022,Lehri,55,2026-04-01,2026-04-15,278.39,27839,405.36,40536,17.09009496499368,10.756305864906194,18100
PAK,Pakistan,admin2,PK22022,Balochistan,PK2172022,Lasbela,55,2026-04-01,2026-04-15,0.29,29,235.17000000000004,23517,0.0303182953631703,1.4998904239496027,1856
PAK,Pakistan,admin2,PK22022,Balochistan,PK2162022,Kohlu,55,2026-04-01,2026-04-15,0.69,69,2.0300000000000002,203,0.2340026380655462,0.023219601141752158,47
PAK,Pakistan,admin2,PK22022,Balochistan,PK2152022,Killa Saifullah,55,2026-04-01,2026-04-15,4.65,465,79.6,7960,0.5914902916527265,0.5488095736874921,922
PAK,Pakistan,admin2,PK22022,Balochistan,PK2142022,Killa Abdullah,55,2026-04-01,2026-04-15,0,0,1.55,155,0,0.0477021261281144,63
PAK,Pakistan,admin2,PK22022,Balochistan,PK2132022,Khuzdar,55,2026-04-01,2026-04-15,4.93,493,21.23,2123,0.358528541712428,0.06064355863206133,599
PAK,Pakistan,admin2,PK22022,Balochistan,PK2112022,Kech,55,2026-04-01,2026-04-15,10.21,1021,199.85,19985,4.233748515126803,0.7325596541430939,4675
PAK,Pakistan,admin2,PK22022,Balochistan,PK2092022,Kachhi,55,2026-04-01,2026-04-15,222.14,22214,277.76000000000005,27776,15.082954693142684,4.4980136199086225,11914
PAK,Pakistan,admin2,PK22022,Balochistan,PK2082022,Jhal Magsi,55,2026-04-01,2026-04-15,90.47,9047,195.69000000000003,19569,5.28664661608303,4.444229332402532,4036
PAK,Pakistan,admin2,PK22022,Balochistan,PK2072022_1,Jaffarabad,55,2026-04-01,2026-04-15,1.36,136,7.109999999999999,711,0.1898996390264127,0.8736946985301511,1009
PAK,Pakistan,admin2,PK22022,Balochistan,PK2062022,Harnai,55,2026-04-01,2026-04-15,0.35,35,0.9,90,0.4723581814024777,0.03988443489334339,12
PAK,Pakistan,admin2,PK22022,Balochistan,PK2052022,Gwadar,55,2026-04-01,2026-04-15,2.99,299,313.58000000000004,31358,11.483251426652227,2.436991368121469,5269
